IP Address,Port Number
173.212.195.139,80
81.169.172.191,80
165.154.224.14,80
64.225.4.12,9986
117.160.250.132,82
60.165.54.65,8060
117.74.65.207,8999
117.74.65.29,10001
117.74.65.207,9994
117.74.65.207,9997
117.74.65.207,1081
114.102.44.238,8089
168.119.99.159,8080
5.78.75.120,8080
5.78.92.237,8080
129.150.36.169,8090
117.74.65.29,87
112.123.102.10,9002
124.128.157.142,8085
103.49.202.252,80
161.117.89.36,8888
195.201.37.70,8080
59.48.218.218,9091
112.44.126.88,9091
47.92.248.197,3128
8.134.139.219,6969
65.109.161.106,8080
64.225.8.118,9991
68.183.106.254,80
68.183.127.144,80
135.181.15.198,3128
146.83.118.9,80
165.227.9.238,80
210.148.200.1,8080
47.109.52.147,21025
167.71.123.253,80
111.225.152.177,8089
5.172.177.218,3128
65.21.151.43,8080
61.53.66.116,9091
81.12.44.197,3129
5.78.100.137,8080
121.36.72.207,9000
104.248.56.194,80
117.74.65.215,3000
82.180.163.163,80
39.101.65.228,8060
65.109.233.198,8080
178.54.21.203,8081
103.1.50.43,3125
58.253.210.122,8888
117.74.65.207,264
58.27.59.249,80
202.103.203.97,9091
120.234.26.219,8060
117.74.65.215,84
5.78.80.33,8080
123.54.16.53,9002
49.12.4.154,8080
153.101.67.170,9002
103.155.156.37,8080
65.108.253.238,8080
173.212.200.30,3128
117.74.65.29,1337
123.163.52.24,9091
182.106.220.252,9091
20.206.106.192,8123
183.230.198.80,9091
5.78.99.33,8080
45.185.162.194,999
117.74.65.29,8118
117.160.250.131,81
39.170.42.90,9091
177.43.72.251,3128
138.197.215.162,80
5.78.99.40,8080
117.74.65.29,6969
117.74.65.207,30001
120.224.180.41,9002
159.138.252.45,9080
114.102.45.120,8089
117.74.65.29,9999
178.33.3.163,8080
138.91.159.185,80
167.235.19.249,8080
183.247.211.41,30001
210.75.50.242,9002
218.28.49.66,8181
5.75.238.5,8080
183.165.244.120,8089
5.78.64.58,8080
138.117.219.108,80
15.237.37.150,80
117.160.250.137,8080
200.106.184.14,999
112.124.38.70,3128
123.154.239.184,8085
105.16.115.202,80
5.78.73.211,8080
103.231.78.36,80
49.0.246.130,3128
65.108.230.239,40809
117.74.65.207,10250
111.225.152.193,8089
143.244.205.72,1080
161.35.11.96,80
111.40.62.176,9091
117.74.65.215,11443
210.22.77.94,9002
115.144.8.91,80
3.128.142.113,80
218.13.24.130,9002
117.74.65.215,83
8.208.85.34,3127
68.183.119.232,80
5.78.99.39,8080
141.95.122.232,80
27.159.66.131,11030
103.148.39.42,84
217.52.247.86,1981
185.15.172.212,3128
1.0.205.87,8080
218.28.98.229,9091
220.248.70.237,9002
159.69.189.199,8080
117.74.65.207,5560
117.74.65.29,8000
